source,target,user_prob,root_prob
192.168.9.2,192.168.9.2,0,0.00061
192.168.9.3,192.168.10.4,0.0038475000000000002,0.00042
192.168.9.3,192.168.11.2,0.016897500000000003,0.01165
192.168.9.3,192.168.10.3,0.008676666666666666,0
192.168.10.2,192.168.10.4,0.0031966666666666667,0.00612
192.168.10.2,192.168.12.3,0.023679999999999996,0.00061
192.168.10.2,192.168.10.3,0.41509,0
192.168.10.2,192.168.12.2,0.00112,0
192.168.10.2,192.168.11.2,0.04417,0
192.168.10.2,192.168.11.3,0.17401,0.00042
192.168.10.3,192.168.9.3,0.012316666666666665,0.00612
192.168.10.3,192.168.10.4,0.0073349999999999995,0.00507
192.168.10.3,192.168.10.2,0.007809999999999999,0.015
192.168.10.3,192.168.12.2,0.005896,0
192.168.10.4,192.168.9.3,0.011732,0
192.168.10.4,192.168.10.2,0.011689999999999999,0
192.168.10.4,192.168.10.3,0.23973,0
192.168.10.4,192.168.12.2,0.014336666666666666,0.00042
192.168.10.4,192.168.12.3,0.02017,0.008199999999999999
192.168.11.2,192.168.11.3,0.0314475,0
192.168.11.2,192.168.10.2,0.03222666666666667,0
192.168.11.2,192.168.12.3,0.003855,0
192.168.11.2,192.168.9.3,0.004156666666666667,0.00043
192.168.11.2,192.168.11.4,0.0079925,0
192.168.11.3,192.168.11.3,0,0
192.168.11.4,192.168.11.4,0,0
192.168.12.2,192.168.10.2,0.02168,0.10945
192.168.12.2,192.168.10.3,0.012289999999999999,0
192.168.12.2,192.168.10.4,0.00044,0
192.168.12.2,192.168.11.4,0.03417,0
192.168.12.3,192.168.10.2,0.07245499999999999,0
192.168.12.3,192.168.10.4,0.07884000000000001,0
192.168.12.3,192.168.11.2,0.04417,0.00043
