source,target,user_prob,root_prob
10.0.125.244,10.0.30.157,0.010589999999999999,0
10.0.125.244,10.0.146.254,0.017195000000000002,0
10.0.125.244,10.0.207.243,0.24713000000000002,0
10.0.125.244,10.0.35.249,0.0048066666666666666,0.03341
10.0.125.244,10.0.44.135,0.01677,0.00042
10.0.125.244,10.0.45.159,0.0058266666666666675,0.00042
10.0.125.244,10.0.180.187,0.023535,0
10.0.125.244,10.0.108.114,0.0028824999999999996,0
10.0.146.254,10.0.39.166,0.2406775,0
10.0.146.254,10.0.44.135,0.009,0
10.0.146.254,10.0.185.71,0.00051,0.00819
10.0.146.254,10.0.22.207,0.108625,0
10.0.146.254,10.0.161.146,0.008585,0
10.0.146.254,10.0.250.207,0.0408125,0
10.0.146.254,10.0.75.188,0.24846,0
10.0.146.254,10.0.17.224,0.503715,0.013665
10.0.146.254,10.0.143.161,0.0027375000000000003,0
10.0.146.254,10.0.129.241,0.017695000000000002,0
10.0.146.254,10.0.78.131,0.00042,0.01596
10.0.146.254,10.0.45.159,0.0116775,0
10.0.146.254,10.0.35.249,0.016043333333333333,0.00042
10.0.146.254,10.0.118.16,0.0035925,0
10.0.146.254,10.0.108.114,0.00745,0
10.0.146.254,10.0.90.185,0.030853333333333333,0.01165
10.0.146.254,10.0.196.246,0.006445,0
10.0.146.254,10.0.85.223,0.215435,0
10.0.146.254,10.0.230.179,0.00924,0
10.0.146.254,10.0.65.191,0.013046666666666665,0.00192
10.0.146.254,10.0.22.96,0.02730666666666667,0.00887
10.0.146.254,10.0.141.57,0.016475,0
10.0.146.254,10.0.139.83,0.011953333333333331,0.00042
10.0.146.254,10.0.125.244,0.006902500000000001,0
10.0.146.254,10.0.183.125,0.002363333333333333,0.00074
10.0.146.254,10.0.221.222,0.12371,0
10.0.146.254,10.0.124.121,0.029697499999999998,0
10.0.146.254,10.0.136.93,0.004476666666666666,0.01311
10.0.146.254,10.0.83.92,0.022572500000000002,0
10.0.146.254,10.0.252.244,0.01137,0.02114
10.0.146.254,10.0.2.17,0.19897666666666666,0.01596
10.0.146.254,10.0.207.243,0.14186333333333334,0.00042
10.0.146.254,10.0.220.79,0.025823333333333337,0.00042
10.0.146.254,10.0.89.182,0.0067174999999999995,0
10.0.146.254,10.0.148.91,0.039514999999999995,0
