Name,Status,Description,Priviledge
CVE-1999-0002,Entry,"Buffer overflow in NFS mountd gives root access to remote attackers, mostly in Linux systems.",root
CVE-1999-0003,Entry,Execute commands as root via buffer overflow in Tooltalk database server (rpc.ttdbserverd).,root
CVE-1999-0005,Entry,Arbitrary command execution via IMAP buffer overflow in authenticate command.,user
CVE-1999-0006,Entry,Buffer overflow in POP servers based on BSD/Qualcomm's qpopper allows remote attackers to gain root access using a long PASS command.,root
CVE-1999-0007,Entry,Information from SSL-encrypted sessions via PKCS #1.,user
CVE-1999-0008,Entry,"Buffer overflow in NIS+, in Sun's rpc.nisd program.",user
CVE-1999-0009,Entry,Inverse query buffer overflow in BIND 4.9 and BIND 8 Releases.,user
CVE-1999-0010,Entry,Denial of Service vulnerability in BIND 8 Releases via maliciously formatted DNS messages.,user
CVE-1999-0011,Entry,Denial of Service vulnerabilities in BIND 4.9 and BIND 8 Releases via CNAME record and zone transfer.,user
CVE-1999-0012,Entry,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.,user
CVE-1999-0013,Entry,"Stolen credentials from SSH clients via ssh-agent program, allowing other local users to access remote accounts belonging to the ssh-agent user.",user
CVE-1999-0014,Entry,Unauthorized privileged access or denial of service via dtappgather program in CDE.,user
CVE-1999-0016,Entry,Land IP denial of service.,user
CVE-1999-0017,Entry,"FTP servers can allow an attacker to connect to arbitrary ports on machines other than the FTP client, aka FTP bounce.",user
CVE-1999-0018,Entry,Buffer overflow in statd allows root privileges.,root
CVE-1999-0019,Entry,"Delete or create a file via rpc.statd, due to invalid information.",user
CVE-1999-0021,Entry,Arbitrary command execution via buffer overflow in Count.cgi (wwwcount) cgi-bin program.,user
CVE-1999-0022,Entry,"Local user gains root privileges via buffer overflow in rdist, via expstr() function.",root
CVE-1999-0023,Entry,"Local user gains root privileges via buffer overflow in rdist, via lookup() function.",root
CVE-1999-0024,Entry,"DNS cache poisoning via BIND, by predictable query IDs.",user
CVE-1999-0025,Entry,root privileges via buffer overflow in df command on SGI IRIX systems.,root
CVE-1999-0026,Entry,root privileges via buffer overflow in pset command on SGI IRIX systems.,root
CVE-1999-0027,Entry,root privileges via buffer overflow in eject command on SGI IRIX systems.,root
CVE-1999-0028,Entry,root privileges via buffer overflow in login/scheme command on SGI IRIX systems.,root
CVE-1999-0029,Entry,root privileges via buffer overflow in ordist command on SGI IRIX systems.,root
CVE-1999-0031,Entry,"JavaScript in Internet Explorer 3.x and 4.x, and Netscape 2.x, 3.x and 4.x, allows remote attackers to monitor a user's web activities, aka the Bell Labs vulnerability.",user
CVE-1999-0032,Entry,"Buffer overflow in lpr, as used in BSD-based systems including Linux, allows local users to execute arbitrary code as root via a long -C (classification) command line option.",root
CVE-1999-0034,Entry,"Buffer overflow in suidperl (sperl), Perl 4.x and 5.x.",user
CVE-1999-0035,Entry,"Race condition in signal handling routine in ftpd, allowing read/write arbitrary files.",user
CVE-1999-0036,Entry,IRIX login program with a nonzero LOCKOUT parameter allows creation or damage to files.,user
CVE-1999-0037,Entry,"Arbitrary command execution via metamail package using message headers, when user processes attacker's message using metamail.",user
CVE-1999-0038,Entry,Buffer overflow in xlock program allows local users to execute commands as root.,root
CVE-1999-0039,Entry,webdist CGI program (webdist.cgi) in SGI IRIX allows remote attackers to execute arbitrary commands via shell metacharacters in the distloc parameter.,user
CVE-1999-0040,Entry,Buffer overflow in Xt library of X Windowing System allows local users to execute commands with root privileges.,root
CVE-1999-0041,Entry,Buffer overflow in NLS (Natural Language Service).,user
CVE-1999-0042,Entry,Buffer overflow in University of Washington's implementation of IMAP and POP servers.,user
CVE-1999-0043,Entry,"Command execution via shell metachars in INN daemon (innd) 1.5 using ""newgroup"" and ""rmgroup"" control messages, and others.",user
CVE-1999-0044,Entry,fsdump command in IRIX allows local users to obtain root access by modifying sensitive files.,root
CVE-1999-0045,Entry,List of arbitrary files on Web host via nph-test-cgi script.,user
CVE-1999-0046,Entry,Buffer overflow of rlogin program using TERM environmental variable.,user
CVE-1999-0047,Entry,MIME conversion buffer overflow in sendmail versions 8.8.3 and 8.8.4.,user
CVE-1999-0048,Entry,"Talkd, when given corrupt DNS information, can be used to execute arbitrary commands with root privileges.",root
CVE-1999-0049,Entry,Csetup under IRIX allows arbitrary file creation or overwriting.,user
CVE-1999-0050,Entry,Buffer overflow in HP-UX newgrp program.,user
CVE-1999-0051,Entry,"Arbitrary file creation and program execution using FLEXlm LicenseManager, from versions 4.0 to 5.0, in IRIX.",user
CVE-1999-0052,Entry,IP fragmentation denial of service in FreeBSD allows a remote attacker to cause a crash.,user
CVE-1999-0053,Entry,TCP RST denial of service in FreeBSD.,user
CVE-1999-0054,Entry,Sun's ftpd daemon can be subjected to a denial of service.,user
CVE-1999-0055,Entry,Buffer overflows in Sun libnsl allow root access.,root
CVE-1999-0056,Entry,Buffer overflow in Sun's ping program can give root access to local users.,root
CVE-1999-0057,Entry,Vacation program allows command execution by remote users through a sendmail command.,user
CVE-1999-0058,Entry,"Buffer overflow in PHP cgi program, php.cgi allows shell access.",user
CVE-1999-0059,Entry,IRIX fam service allows an attacker to obtain a list of all files on the server.,user
CVE-1999-0060,Entry,"Attackers can cause a denial of service in Ascend MAX and Pipeline routers with a malformed packet to the discard port, which is used by the Java Configurator tool.",user
CVE-1999-0062,Entry,The chpass command in OpenBSD allows a local user to gain root access through file descriptor leakage.,root
CVE-1999-0063,Entry,Cisco IOS 12.0 and other versions can be crashed by malicious UDP packets to the syslog port.,user
CVE-1999-0064,Entry,Buffer overflow in AIX lquerylv program gives root access to local users.,root
CVE-1999-0065,Entry,Multiple buffer overflows in how dtmail handles attachments allows a remote attacker to execute commands.,user
CVE-1999-0066,Entry,AnyForm CGI remote execution.,user
CVE-1999-0067,Entry,phf CGI program allows remote command execution through shell metacharacters.,user
CVE-1999-0068,Entry,CGI PHP mylog script allows an attacker to read any file on the target server.,user
CVE-1999-0069,Entry,Solaris ufsrestore buffer overflow.,user
CVE-1999-0070,Entry,test-cgi program allows an attacker to list files on the server.,user
CVE-1999-0071,Entry,Apache httpd cookie buffer overflow for versions 1.1.1 and earlier.,user
CVE-1999-0072,Entry,Buffer overflow in AIX xdat gives root access to local users.,root
CVE-1999-0073,Entry,"Telnet allows a remote client to specify environment variables including LD_LIBRARY_PATH, allowing an attacker to bypass the normal system libraries and gain root access.",root
CVE-1999-0074,Entry,"Listening TCP ports are sequentially allocated, allowing spoofing attacks.",user
CVE-1999-0075,Entry,PASV core dump in wu-ftpd daemon when attacker uses a QUOTE PASV command after specifying a username and password.,user
CVE-1999-0077,Entry,Predictable TCP sequence numbers allow spoofing.,user
CVE-1999-0079,Entry,"Remote attackers can cause a denial of service in FTP by issuing multiple PASV commands, causing the server to run out of available ports.",user
CVE-1999-0080,Entry,"Certain configurations of wu-ftp FTP server 2.4 use a _PATH_EXECPATH setting to a directory with dangerous commands, such as /bin, which allows remote authenticated users to gain root access via the ""site exec"" command.",root
CVE-1999-0081,Entry,wu-ftp allows files to be overwritten via the rnfr command.,user
CVE-1999-0082,Entry,CWD ~root command in ftpd allows root access.,root
CVE-1999-0083,Entry,getcwd() file descriptor leak in FTP.,user
CVE-1999-0084,Entry,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,user
CVE-1999-0085,Entry,Buffer overflow in rwhod on AIX and other operating systems allows remote attackers to execute arbitrary code via a UDP packet with a long hostname.,user
CVE-1999-0087,Entry,Denial of service in AIX telnet can freeze a system and prevent users from accessing the server.,user
CVE-1999-0090,Entry,Buffer overflow in AIX rcp command allows local users to obtain root access.,root
CVE-1999-0091,Entry,Buffer overflow in AIX writesrv command allows local users to obtain root access.,root
CVE-1999-0093,Entry,AIX nslookup command allows local users to obtain root access by not dropping privileges correctly.,root
CVE-1999-0094,Entry,AIX piodmgrsu command allows local users to gain additional group privileges.,user
CVE-1999-0095,Entry,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.",root
CVE-1999-0096,Entry,Sendmail decode alias can be used to overwrite sensitive files.,user
CVE-1999-0097,Entry,The AIX FTP client can be forced to execute commands from a malicious server through shell metacharacters (e.g. a pipe character).,user
CVE-1999-0099,Entry,Buffer overflow in syslog utility allows local or remote attackers to gain root privileges.,root
CVE-1999-0100,Entry,"Remote access in AIX innd 1.5.1, using control messages.",user
CVE-1999-0101,Entry,Buffer overflow in AIX and Solaris "gethostbyname" library call allows root access through corrupt DNS host names.,root
CVE-1999-0102,Entry,Buffer overflow in SLmail 3.x allows attackers to execute commands using a large FROM line.,user
CVE-1999-0103,Entry,"Echo and chargen, or other combinations of UDP services, can be used in tandem to flood the server, a.k.a. UDP bomb or UDP packet storm.",user
CVE-1999-0108,Entry,The printers program in IRIX has a buffer overflow that gives root access to local users.,root
CVE-1999-0109,Entry,Buffer overflow in ffbconfig in Solaris 2.5.1.,user
CVE-1999-0111,Entry,RIP v1 is susceptible to spoofing.,user
CVE-1999-0112,Entry,Buffer overflow in AIX dtterm program for the CDE.,user
CVE-1999-0113,Entry,Some implementations of rlogin allow root access if given a -froot parameter.,root
CVE-1999-0115,Entry,AIX bugfiler program allows local users to gain root access.,root
CVE-1999-0116,Entry,"Denial of service when an attacker sends many SYN packets to create multiple connections without ever sending an ACK to complete the connection, aka SYN flood.",user
CVE-1999-0117,Entry,AIX passwd allows local users to gain root access.,root
CVE-1999-0118,Entry,AIX infod allows local users to gain root access through an X display.,root
CVE-1999-0120,Entry,Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.,root
CVE-1999-0122,Entry,Buffer overflow in AIX lchangelv gives root access.,root
CVE-1999-0124,Entry,Vulnerabilities in UMN gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.,user
CVE-1999-0125,Entry,Buffer overflow in SGI IRIX mailx program.,user
CVE-1999-0126,Entry,SGI IRIX buffer overflow in xterm and Xaw allows root access.,root
CVE-1999-0128,Entry,"Oversized ICMP ping packets can result in a denial of service, aka Ping o' Death.",user
CVE-1999-0129,Entry,Sendmail allows local users to write to a file and gain group permissions via a .forward or :include: file.,user
CVE-1999-0130,Entry,Local users can start Sendmail in daemon mode and gain root privileges.,root
CVE-1999-0131,Entry,Buffer overflow and denial of service in Sendmail 8.7.5 and earlier through GECOS field gives root access to local users.,root
CVE-1999-0132,Entry,"Expreserve, as used in vi and ex, allows local users to overwrite arbitrary files and gain root access.",root
CVE-1999-0133,Entry,fm_fls license server for Adobe Framemaker allows local users to overwrite arbitrary files and gain root access.,root
CVE-1999-0134,Entry,vold in Solaris 2.x allows local users to gain root access.,root
CVE-1999-0135,Entry,admintool in Solaris allows a local user to write to arbitrary files and gain root access.,root
CVE-1999-0136,Entry,Kodak Color Management System (KCMS) on Solaris allows a local user to write to arbitrary files and gain root access.,root
CVE-1999-0137,Entry,The dip program on many Linux systems allows local users to gain root access via a buffer overflow.,root
CVE-1999-0138,Entry,"The suidperl and sperl program do not give up root privileges when changing UIDs back to the original users, allowing root access.",root
CVE-1999-0139,Entry,Buffer overflow in Solaris x86 mkcookie allows local users to obtain root access.,root
CVE-1999-0141,Entry,Java Bytecode Verifier allows malicious applets to execute arbitrary commands as the user of the applet.,user
CVE-1999-0142,Entry,The Java Applet Security Manager implementation in Netscape Navigator 2.0 and Java Developer's Kit 1.0 allows an applet to connect to arbitrary hosts.,user
CVE-1999-0143,Entry,Kerberos 4 key servers allow a user to masquerade as another by breaking and generating session keys.,user
CVE-1999-0145,Entry,"Sendmail WIZ command enabled, allowing root access.",root
CVE-1999-0146,Entry,"The campas CGI program provided with some NCSA web servers allows an attacker to execute arbitrary commands via encoded carriage return characters in the query string, as demonstrated by reading the password file.",user
CVE-1999-0147,Entry,The aglimpse CGI program of the Glimpse package allows remote execution of arbitrary commands.,user
CVE-1999-0148,Entry,The handler CGI program in IRIX allows arbitrary command execution.,user
