source,service,cve,exploit_prob,target,privilege
192.168.14.234,The file upload capability in PHP versions 3 and 4 allows remote attackers to read arbitrary files by setting hidden form fields whose names match the names of internal PHP script variables.,CVE-2000-0860,0.00834,192.168.254.74,User
192.168.14.234,Undocumented ColdFusion Markup Language (CFML) tags and functions in the ColdFusion Administrator allow users to gain additional privileges.,CVE-1999-0760,0.01393,192.168.254.74,User
192.168.14.234,The Nbase-Xyplex EdgeBlaster router allows remote attackers to cause a denial of service via a scan for the FormMail CGI program.,CVE-2000-0255,0.00268,192.168.254.74,User
192.168.14.234,"Microsoft Windows 2000 running the Terminal Server 90-day trial version, and possibly other versions, does not apply group policies to incoming users when the number of connections to the SYSVOL share exceeds the maximum, e.g. with a maximum number of licenses, which can allow remote authenticated users to bypass group policies.",CVE-2002-0444,0.0138,192.168.254.74,User
192.168.14.234,The AIX FTP client can be forced to execute commands from a malicious server through shell metacharacters (e.g. a pipe character).,CVE-1999-0097,0.06011,192.168.254.74,User
192.168.14.234,"nss_ldap earlier than 121, when run with nscd (name service caching daemon), allows remote attackers to cause a denial of service via a flood of LDAP requests.",CVE-2000-1045,0.00401,192.168.75.52,User
192.168.14.234,procfs in BSD systems allows local users to gain root privileges by modifying the /proc/pid/mem interface via a modified file descriptor for stderr.,CVE-2000-0094,0.00042,192.168.75.52,Root
192.168.14.234,libnss-pgsql in nss-pgsql 0.9.0 and earlier allows remote attackers to execute arbitrary SQL queries by inserting SQL code into an HTTP request.,CVE-2001-1089,0.00696,192.168.75.52,User
192.168.14.234,"The cryptographic challenge of SMB authentication in Windows 95 and Windows 98 can be reused, allowing an attacker to replay the response and impersonate a user.",CVE-1999-0391,0.00383,192.168.75.52,User
192.168.14.234,"The snprintf function in the db library 1.85.4 ignores the size parameter, which could allow attackers to exploit buffer overflows that would be prevented by a properly implemented snprintf.",CVE-1999-1330,0.00059,192.168.75.52,User
192.168.14.234,The AMaViS virus scanner 0.2.0-pre4 and earlier allows remote attackers to execute arbitrary commands as root via an infected mail message with shell metacharacters in the reply-to field.,CVE-1999-1512,0.01165,192.168.192.20,Root
192.168.14.234,bb-hostsvc.sh in Big Brother 1.4h1 and earlier allows remote attackers to read arbitrary files via a .. (dot dot) attack on the HOSTSVC parameter.,CVE-2000-0638,0.05376,192.168.192.20,User
192.168.14.234,"CNet CatchUp before 1.3.1 allows attackers to execute arbitrary code via a .RVP file that creates a file with an arbitrary extension (such as .BAT), which is executed during a scan.",CVE-2002-0299,0.00338,192.168.192.20,User
192.168.14.234,Buffer overflow in Berkeley automounter daemon (amd) logging facility provided in the Linux am-utils package and others.,CVE-1999-0704,0.01003,192.168.192.20,User
192.168.14.234,"The bna_pass program in Optivity NETarchitect uses the PATH environmental variable for finding the ""rm"" program, which allows local users to execute arbitrary commands.",CVE-2000-0009,0.00042,192.168.192.20,User
192.168.14.234,"Squid 2.4 STABLE3 and earlier does not properly disable HTCP, even when ""htcp_port 0"" is specified in squid.conf, which could allow remote attackers to bypass intended access restrictions.",CVE-2002-0067,0.00695,192.168.211.219,User
192.168.14.234,A remote attacker can read information from a Netscape user's cache via JavaScript.,CVE-1999-0790,0.00788,192.168.211.219,User
192.168.14.234,SmallHTTP 1.204 through 3.00 beta 8 allows remote attackers to cause a denial of service via multiple long URL requests.,CVE-2001-1251,0.0112,192.168.211.219,User
192.168.14.234,"Cross-site scripting vulnerability in the SQLXML component of Microsoft SQL Server 2000 allows an attacker to execute arbitrary script via the root parameter as part of an XML SQL query, aka ""Script Injection via XML Tag.""",CVE-2002-0187,0.00612,192.168.14.49,Root
192.168.14.234,"securetar, as used in AMaViS shell script 0.2.1 and earlier, allows users to cause a denial of service (CPU consumption) via a malformed TAR file, possibly via an incorrect file size parameter.",CVE-2002-1109,0.00052,192.168.14.49,User
192.168.14.234,Linux apcd program allows local attackers to modify arbitrary files via a symlink attack.,CVE-2000-0107,0.00042,192.168.14.49,User
192.168.14.234,"SNMP service in Atmel 802.11b VNET-B Access Point 1.3 and earlier, as used in Netgear ME102 and Linksys WAP11, accepts arbitrary community strings with requested MIB modifications, which allows remote attackers to obtain sensitive information such as WEP keys, cause a denial of service, or gain access to the network.",CVE-2001-0514,0.00865,192.168.14.49,User
192.168.14.234,"htsearch CGI program in htdig (ht://Dig) 3.1.5 and earlier allows remote attackers to use the -c option to specify an alternate configuration file, which could be used to (1) cause a denial of service (CPU consumption) by specifying a large file such as /dev/zero, or (2) read arbitrary files by uploading an alternate configuration file that specifies the target file.",CVE-2001-0834,0.01563,192.168.39.79,User
192.168.14.234,Directory traversal vulnerability in Extent RBS ISP web server allows remote attackers to read sensitive information via a .. (dot dot) attack on the Image parameter.,CVE-2000-1036,0.01215,192.168.39.79,User
192.168.14.234,"OpenBSD 2.9 through 3.1 allows local users to cause a denial of service (resource exhaustion) and gain root privileges by filling the kernel's file descriptor table and closing file descriptors 0, 1, or 2 before executing a privileged process, which is not properly handled when OpenBSD fails to open an alternate descriptor.",CVE-2002-0766,0.00061,192.168.39.79,Root
192.168.14.234,"FrontPage Server Extensions (FPSE) in IIS 4.0 and 5.0 allows remote attackers to cause a denial of service via a malformed form, aka the ""Malformed Web Form Submission"" vulnerability.",CVE-2001-0096,0.04326,192.168.39.79,User
192.168.14.234,"Cross-site scripting (XSS) vulnerability in parse_xml.cgi in Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to insert arbitrary script via the filename parameter, which is inserted into an error message.",CVE-2003-0053,0.00285,192.168.179.36,User
192.168.14.234,Format string vulnerability in RPC wall daemon (rpc.rwalld) for Solaris 2.5.1 through 8 allows remote attackers to execute arbitrary code via format strings in a message that is not properly provided to the syslog function when the wall command cannot be executed.,CVE-2002-0573,0.82733,192.168.179.36,User
192.168.128.97,gzexe in the gzip package on Red Hat Linux 5.0 and earlier allows local users to overwrite files of other users via a symlink attack on a temporary file.,CVE-1999-1332,0.00042,192.168.14.49,User
192.168.128.97,"Red-M 1050 (Bluetooth Access Point) uses case insensitive passwords, which makes it easier for attackers to conduct a brute force guessing attack due to the smaller space of possible passwords.",CVE-2002-0394,0.00182,192.168.14.49,User
192.168.128.97,"Format string vulnerability in daemon.c for Exim 4.x through 4.10, and 3.x through 3.36, allows exim administrative users to execute arbitrary code by modifying the pid_file_path value.",CVE-2002-1381,0.00174,192.168.39.79,User
192.168.128.97,Buffer overflow in the index menu code (menu_pad_string of menu.c) for Mutt 1.4.1 and earlier allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via certain mail messages.,CVE-2004-0078,0.0866,192.168.39.79,User
192.168.128.97,Buffer overflow and denial of service in Sendmail 8.7.5 and earlier through GECOS field gives root access to local users.,CVE-1999-0131,0.00042,192.168.211.219,Root
192.168.128.97,Buffer overflow in the ISAPI DLL filter for Macromedia JRun 3.1 allows remote attackers to execute arbitrary code via a direct request to the filter with a long HTTP host header field in a URL for a .jsp file.,CVE-2002-0801,0.17401,192.168.211.219,User
192.168.128.97,"Cross-site scripting vulnerability in the SQLXML component of Microsoft SQL Server 2000 allows an attacker to execute arbitrary script via the root parameter as part of an XML SQL query, aka ""Script Injection via XML Tag.""",CVE-2002-0187,0.00612,192.168.14.234,Root
192.168.128.97,"Buffer overflow in the RPC Locator service for Microsoft Windows NT 4.0, Windows NT 4.0 Terminal Server Edition, Windows 2000, and Windows XP allows local users to execute arbitrary code via an RPC call to the service containing certain parameter information.",CVE-2003-0003,0.0209,192.168.14.234,User
192.168.128.97,"htsearch CGI program in htdig (ht://Dig) 3.1.5 and earlier allows remote attackers to use the -c option to specify an alternate configuration file, which could be used to (1) cause a denial of service (CPU consumption) by specifying a large file such as /dev/zero, or (2) read arbitrary files by uploading an alternate configuration file that specifies the target file.",CVE-2001-0834,0.01563,192.168.14.234,User
192.168.128.97,AIX piodmgrsu command allows local users to gain additional group privileges.,CVE-1999-0094,0.00042,192.168.14.234,User
192.168.75.52,"Solaris arp allows local users to read files via the -f parameter, which lists lines in the file that do not parse properly.",CVE-1999-0859,0.00042,192.168.192.20,User
192.168.75.52,Race condition in wu-ftpd and BSDI ftpd allows remote attackers to gain root access via the SITE EXEC command.,CVE-1999-0955,0.00507,192.168.192.20,Root
192.168.75.52,"The SMS Remote Control program is installed with insecure permissions, which allows local users to gain privileges by modifying or replacing the program.",CVE-2000-0100,0.00048,192.168.192.20,User
192.168.75.52,xSANE 0.81 and earlier allows local users to modify files of other xSANE users via a symlink attack on temporary files.,CVE-2001-0887,0.00042,192.168.192.20,User
192.168.75.52,"RSH service utility RSHSVC in Windows NT 3.5 through 4.0 does not properly restrict access as specified in the .Rhosts file when a user comes from an authorized host, which could allow unauthorized users to access the service by logging in from an authorized host.",CVE-1999-1455,0.02802,192.168.192.20,User
192.168.179.36,"The libCheckSignature function in crypto-utils.lib for OpenCA 0.9.1.6 and earlier only compares the serial of the signer's certificate and the one in the database, which can cause OpenCA to incorrectly accept a signature if the certificate's chain is trusted by OpenCA's chain directory, allowing remote attackers to spoof requests from other users.",CVE-2004-0004,0.01811,192.168.14.234,User
192.168.179.36,Remote attackers can cause a denial of service in Sendmail 8.8.x and 8.9.2 by sending messages with a large number of headers.,CVE-1999-0393,0.00849,192.168.14.234,User
192.168.179.36,Falcon web server 2.0.0.1020 and earlier allows remote attackers to bypass authentication and read restricted files via an extra / (slash) in the requested URL.,CVE-2002-0275,0.00319,192.168.14.234,User
192.168.179.36,CWD ~root command in ftpd allows root access.,CVE-1999-0082,0.015,192.168.14.234,Root
192.168.179.36,"Debugging utility in the backdoor mode of Palm OS 3.5.2 and earlier allows attackers with physical access to a Palm device to bypass access restrictions and obtain passwords, even if the system lockout mechanism is enabled.",CVE-2001-0157,0.00145,192.168.14.234,User
192.168.179.36,Maxum Rumpus FTP Server 1.3.3 and 2.0.3 dev 3 allows a remote attacker to perform a denial of service (hang) by creating a directory name of a specific length.,CVE-2001-0646,0.0116,192.168.128.97,User
192.168.179.36,Information from SSL-encrypted sessions via PKCS #1.,CVE-1999-0007,0.00073,192.168.128.97,User
192.168.179.36,"The Microsoft Jet database engine allows an attacker to modify text files via a database query, aka the ""Text I-ISAM"" vulnerability.",CVE-2000-0323,0.01282,192.168.128.97,User
192.168.179.36,login in Slackware 7.0 allows remote attackers to identify valid users on the system by reporting an encryption error when an account is locked or does not exist.,CVE-1999-0856,0.00221,192.168.128.97,User
192.168.179.36,Buffer overflow in the get_origin function in traceroute-nanog allows attackers to execute arbitrary code via long WHOIS responses.,CVE-2002-1364,0.00212,192.168.128.97,User
192.168.179.36,The DocumentTemplate package in Zope 2.2 and earlier allows a remote attacker to modify DTMLDocuments or DTMLMethods without authorization.,CVE-2000-0483,0.01598,192.168.212.95,User
192.168.179.36,"cmd5checkpw 0.21 and earlier allows remote attackers to cause a denial of service via an ""SMTP AUTH"" command with an unknown username.",CVE-2000-0990,0.00776,192.168.212.95,User
192.168.179.36,"The SMS Remote Control program is installed with insecure permissions, which allows local users to gain privileges by modifying or replacing the program.",CVE-2000-0100,0.00048,192.168.212.95,User
192.168.179.36,"3COM OfficeConnect 812 and 840 ADSL Router 4.2, running OCR812 router software 1.1.9 and earlier, allows remote attackers to cause a denial of service via a long string containing a large number of ""%s"" strings, possibly triggering a format string vulnerability.",CVE-2001-0740,0.02579,192.168.212.95,User
192.168.179.36,"SNMP service in Atmel 802.11b VNET-B Access Point 1.3 and earlier, as used in Netgear ME102 and Linksys WAP11, accepts arbitrary community strings with requested MIB modifications, which allows remote attackers to obtain sensitive information such as WEP keys, cause a denial of service, or gain access to the network.",CVE-2001-0514,0.00865,192.168.212.95,User
192.168.212.95,"Internet Explorer 4.01 allows remote attackers to read arbitrary files by pasting a file name into the file upload control, aka untrusted scripted paste.",CVE-1999-0870,0.0315,192.168.39.79,User
192.168.212.95,Directory traversal vulnerability in McAfee ASaP VirusScan agent 1.0 allows remote attackers to read arbitrary files via a .. (dot dot) in the HTTP request.,CVE-2001-1144,0.01439,192.168.39.79,User
192.168.212.95,"Windows NT 4.0 allows local users to cause a denial of service via a user mode application that closes a handle that was opened in kernel mode, which causes a crash when the kernel attempts to close the handle.",CVE-1999-1360,0.00045,192.168.39.79,User
192.168.212.95,"Solaris arp allows local users to read files via the -f parameter, which lists lines in the file that do not parse properly.",CVE-1999-0859,0.00042,192.168.39.79,User
192.168.212.95,"Heap-based buffer overflow in Fetchmail 6.1.3 and earlier does not account for the ""@"" character when determining buffer lengths for local addresses, which allows remote attackers to execute arbitrary code via a header with a large number of local addresses.",CVE-2002-1365,0.30545,192.168.128.97,User
192.168.212.95,Buffer overflow in the ISAPI DLL filter for Macromedia JRun 3.1 allows remote attackers to execute arbitrary code via a direct request to the filter with a long HTTP host header field in a URL for a .jsp file.,CVE-2002-0801,0.17401,192.168.128.97,User
192.168.192.20,Buffer overflow in INN 2.2.1 and earlier allows remote attackers to cause a denial of service via a maliciously formatted article.,CVE-2000-0360,0.00649,192.168.39.79,User
192.168.192.20,Format string vulnerability in screen 3.9.5 and earlier allows local users to gain root privileges via format characters in the vbell_msg initialization variable.,CVE-2000-0901,0.00042,192.168.39.79,Root
192.168.192.20,Buffer overflow in Berkeley automounter daemon (amd) logging facility provided in the Linux am-utils package and others.,CVE-1999-0704,0.01003,192.168.39.79,User
192.168.192.20,"csSearch.cgi in csSearch 2.3 and earlier allows remote attackers to execute arbitrary Perl code via the savesetup command and the setup parameter, which overwrites the setup.cgi configuration file that is loaded by csSearch.cgi.",CVE-2002-0495,0.02649,192.168.39.79,User
192.168.14.49,vold in Solaris 2.x allows local users to gain root access.,CVE-1999-0134,0.00044,192.168.212.95,Root
192.168.14.49,Performance Metrics Collector Daemon (PMCD) in Performance Copilot in IRIX 6.x allows remote attackers to cause a denial of service (resource exhaustion) via an extremely long string to the PMCD port.,CVE-2000-1193,0.02874,192.168.212.95,User
192.168.14.49,WFTPD and WFTPD Pro 2.41 allows remote attackers to cause a denial of service by executing a STAT command while the LIST command is still executing.,CVE-2000-0644,0.0116,192.168.212.95,User
192.168.14.49,Directory traversal vulnerability in fsp before 2.81.b18 allows remote users to access files outside the FSP root directory.,CVE-2003-1022,0.01596,192.168.212.95,Root
192.168.14.49,"The Vicam USB driver in Linux before 2.4.25 does not use the copy_from_user function when copying data from userspace to kernel space, which crosses security boundaries and allows local users to cause a denial of service.",CVE-2004-0075,0.0006,192.168.128.97,User
