source,target,user_prob,root_prob
192.168.94.211,192.168.42.25,0.097016,0.008199999999999999
192.168.94.211,192.168.150.103,0.006594285714285714,0
192.168.94.211,192.168.117.11,0.2152325,0
192.168.94.211,192.168.252.190,0.026184000000000002,0
192.168.117.11,192.168.252.190,0.0187675,0
192.168.117.11,192.168.20.218,0.04344,0
192.168.117.11,192.168.167.78,0.0134975,0.006775
192.168.150.103,192.168.94.211,0.0071449999999999994,0
192.168.150.103,192.168.44.7,0.05300666666666665,0.00074
192.168.150.103,192.168.42.25,0.02024,0.055685000000000005
192.168.150.103,192.168.65.228,0.018074,0
192.168.65.228,192.168.85.204,0.007279999999999999,0.00192
192.168.65.228,192.168.117.11,0.10403666666666667,0.01596
192.168.65.228,192.168.252.190,0.016711999999999998,0
192.168.65.228,192.168.167.78,0.1308042857142857,0.00042
192.168.65.228,192.168.44.7,0.034384,0
192.168.65.228,192.168.42.25,0.013944000000000002,0
192.168.85.204,192.168.117.11,0.0603175,0.00043
192.168.85.204,192.168.252.190,0.026789999999999994,0
192.168.85.204,192.168.44.7,0.004065,0
192.168.42.25,192.168.85.204,0.007192,0
192.168.167.78,192.168.65.228,0.005053333333333333,0.02452
192.168.167.78,192.168.94.211,0.006121666666666667,0.00042
192.168.167.78,192.168.85.204,0.006840000000000001,0
192.168.167.78,192.168.42.25,0.014223333333333333,0
192.168.167.78,192.168.117.11,0.023178333333333332,0.03341
192.168.167.78,192.168.20.218,0.046779999999999995,0.00042
192.168.167.78,192.168.150.103,0.01739857142857143,0.93793
192.168.167.78,192.168.252.190,0.030113999999999995,0
192.168.252.190,192.168.167.78,0.1197175,0
192.168.252.190,192.168.42.25,0.023745714285714283,0.00044
192.168.252.190,192.168.85.204,0.029134000000000004,0
192.168.252.190,192.168.65.228,0.0067025,0
192.168.252.190,192.168.117.11,0.0067399999999999995,0.00327
192.168.20.218,192.168.252.190,0.1566816666666667,0.00192
192.168.44.7,192.168.117.11,0.0116175,0.24011500000000002
192.168.44.7,192.168.20.218,0.010921428571428572,0.00042
