source,target,user_prob,root_prob
192.168.156.198,192.168.230.119,0.0101125,0
192.168.156.198,192.168.40.29,0.008816666666666667,0
192.168.156.198,192.168.173.130,0.02920333333333333,0
192.168.156.198,192.168.15.209,0.012310000000000001,0
192.168.156.198,192.168.54.244,0.025,0
192.168.156.198,192.168.216.147,0.08134499999999999,0.00044
192.168.156.198,192.168.155.4,0.38800999999999997,0
192.168.156.198,192.168.154.76,0.02130333333333333,0
192.168.156.198,192.168.79.252,0.05057,0.00042
192.168.156.198,192.168.39.243,0.049723333333333335,0
192.168.156.198,192.168.129.236,0.042416666666666665,0
192.168.156.198,192.168.217.194,0.0062900000000000005,0.009
192.168.156.198,192.168.83.200,0.006465,0
192.168.156.198,192.168.47.65,0.0006,0.00044
192.168.156.198,192.168.245.187,0.00804,0.02452
192.168.230.119,192.168.93.29,0.0430425,0
192.168.230.119,192.168.84.95,0.0025599999999999998,0
192.168.230.119,192.168.113.228,0.01312,0
192.168.230.119,192.168.167.224,0.00042500000000000003,0.00042
192.168.230.119,192.168.1.242,0.020775000000000002,0
192.168.230.119,192.168.95.103,0.0959125,0
192.168.230.119,192.168.56.60,0.001385,0
192.168.230.119,192.168.128.65,0.09995000000000001,0
192.168.230.119,192.168.162.140,0.0014733333333333334,0
192.168.230.119,192.168.176.49,0.014433333333333333,0
192.168.230.119,192.168.217.194,0.01186,0
192.168.230.119,192.168.39.243,0.00388,0.02253
192.168.230.119,192.168.245.187,0.026484999999999998,0.00192
192.168.230.119,192.168.241.155,0.0258825,0
192.168.230.119,192.168.5.168,0.082145,0
192.168.230.119,192.168.28.156,0.002115,0
192.168.230.119,192.168.15.209,0.015969999999999998,0
192.168.230.119,192.168.194.227,0.009265,0.00042
192.168.230.119,192.168.90.79,0.0179875,0.00044
192.168.230.119,192.168.184.244,0.0251825,0.02452
192.168.230.119,192.168.94.10,0.019354999999999997,0
192.168.230.119,192.168.51.124,0.00835,0.00065
192.168.13.56,192.168.68.211,0.022815,0
192.168.13.56,192.168.56.60,0.0024600000000000004,0.00042
192.168.13.56,192.168.245.187,0.10625666666666667,0.006775
192.168.13.56,192.168.216.147,0.1218925,0
192.168.13.56,192.168.154.76,0.007326666666666666,0.01165
192.168.13.56,192.168.131.18,0.026484999999999998,0
192.168.13.56,192.168.173.130,0.01338,0
192.168.13.56,192.168.162.140,0.00042,0.00043
192.168.13.56,192.168.169.207,0.011177999999999999,0
192.168.13.56,192.168.113.228,0.055482,0
192.168.13.56,192.168.14.49,0.005385,0
192.168.13.56,192.168.155.4,0.0409375,0.00065
192.168.13.56,192.168.241.155,0.0067525,0
192.168.13.56,192.168.84.10,0.012145,0.00887
192.168.13.56,192.168.225.88,0.010069999999999999,0
192.168.13.56,192.168.241.92,0.02402,0
192.168.13.56,192.168.169.223,0.00295,0.00887
192.168.13.56,192.168.115.129,0.00791,0.0033499999999999992
192.168.13.56,192.168.156.198,0.0049925,0.02452
192.168.13.56,192.168.118.218,0.018185,0
192.168.13.56,192.168.45.186,0.01811,0.00042
192.168.13.56,192.168.58.78,0.07815,0
192.168.13.56,192.168.128.65,0.00042500000000000003,0
192.168.13.56,192.168.223.98,0.075325,0
192.168.13.56,192.168.94.10,0.010582,0
192.168.13.56,192.168.243.109,0.004325,0
192.168.13.56,192.168.15.209,0.0016600000000000002,0
192.168.13.56,192.168.83.200,0.4679125,0
192.168.13.56,192.168.54.244,0.0025233333333333336,0.01596
192.168.13.56,192.168.166.16,0.0065025,0
192.168.13.56,192.168.63.193,0.0005133333333333333,0
192.168.13.56,192.168.47.65,0.2089525,0.00042
192.168.13.56,192.168.90.79,0.0195,0
192.168.13.56,192.168.103.121,0.27712333333333333,0.002745
192.168.13.56,192.168.79.252,0.00186,0
192.168.13.56,192.168.33.114,0.005018,0
192.168.13.56,192.168.194.227,0.04674,0.009
192.168.13.56,192.168.114.242,0.011515000000000001,0.0032866666666666665
192.168.13.56,192.168.40.29,0.05819,0
192.168.13.56,192.168.217.66,0.0069433333333333335,0
192.168.13.56,192.168.59.160,0.0218,0
192.168.13.56,192.168.184.244,0.036772000000000006,0
192.168.59.160,192.168.128.65,0.013525,0
192.168.59.160,192.168.121.132,0.03975,0.03341
192.168.59.160,192.168.156.198,0.424115,0.00044
192.168.59.160,192.168.169.223,0.0031750000000000003,0
192.168.59.160,192.168.63.193,0.4068,0
192.168.59.160,192.168.93.29,0.008155,0.00043
192.168.59.160,192.168.166.16,0.0053075,0
192.168.59.160,192.168.99.33,0.0136025,0
192.168.59.160,192.168.110.214,0.002636666666666667,0.10945
192.168.59.160,192.168.230.119,0.013464,0
192.168.59.160,192.168.79.252,0.01992333333333333,0
192.168.59.160,192.168.167.224,0.008055999999999999,0
192.168.59.160,192.168.37.21,0.08447,0
192.168.59.160,192.168.176.49,0.001775,0
192.168.59.160,192.168.33.114,0.03675,0
192.168.59.160,192.168.84.10,0.08804,0
192.168.59.160,192.168.169.207,0.00934,0
192.168.59.160,192.168.162.140,0.003623333333333334,0
192.168.59.160,192.168.164.212,0.015025,0
192.168.59.160,192.168.118.218,0.0207075,0
192.168.59.160,192.168.194.240,0.00539,0
192.168.59.160,192.168.204.232,0.021808,0
192.168.59.160,192.168.185.206,0.005765999999999999,0
192.168.59.160,192.168.56.60,0.012065,0.00043000000000000004
192.168.59.160,192.168.155.4,0.01482,0
192.168.59.160,192.168.28.156,0.020395,0.00042
192.168.59.160,192.168.183.174,0.012627500000000002,0
192.168.59.160,192.168.154.76,0.006966,0
192.168.59.160,192.168.245.187,0.0038575,0
192.168.59.160,192.168.84.95,0.007026,0
192.168.59.160,192.168.217.66,0.008579999999999999,0.00061
192.168.59.160,192.168.184.244,0.015703333333333337,0
192.168.59.160,192.168.7.226,0.0300075,0.00192
192.168.59.160,192.168.129.236,0.014943333333333331,0.00074
192.168.185.206,192.168.223.98,0.1597925,0
192.168.185.206,192.168.37.21,0.00193,0
192.168.185.206,192.168.83.200,0.208724,0
192.168.185.206,192.168.45.186,0.005785,0.00042
192.168.185.206,192.168.173.130,0.00348,0.02452
192.168.185.206,192.168.154.76,0.02368,0.00281
192.168.185.206,192.168.94.10,0.0164825,0.02452
192.168.185.206,192.168.51.124,0.008643333333333333,0.00887
192.168.185.206,192.168.176.49,0.026285,0
192.168.185.206,192.168.245.187,0.01331,0
192.168.185.206,192.168.47.65,0.016837500000000002,0
192.168.185.206,192.168.93.29,0.000465,0
192.168.185.206,192.168.194.227,0.01689,0
192.168.185.206,192.168.99.33,0.0070825,0.00887
192.168.185.206,192.168.128.65,0.039115,0
192.168.185.206,192.168.183.174,0.034865999999999994,0
192.168.185.206,192.168.194.240,0.00413,0.00044
192.168.185.206,192.168.118.218,0.00348,0.00044
192.168.185.206,192.168.84.95,0.028484,0
192.168.185.206,192.168.164.212,0.00995,0
192.168.185.206,192.168.14.49,0.006105,0.00819
192.168.185.206,192.168.79.252,0.010915000000000001,0
192.168.185.206,192.168.217.194,0.13657,0.01165
192.168.185.206,192.168.58.78,0.00428,0.00192
192.168.118.218,192.168.194.240,0.011609999999999999,0
192.168.118.218,192.168.241.155,0.01811,0.00042
192.168.118.218,192.168.71.65,0.008257500000000001,0
192.168.118.218,192.168.184.244,0.421215,0.93793
192.168.118.218,192.168.40.29,0.025506666666666667,0
192.168.118.218,192.168.83.200,0.004880000000000001,0
192.168.118.218,192.168.47.65,0.010509999999999999,0
192.168.118.218,192.168.230.119,0.1256525,0.00042
192.168.118.218,192.168.156.198,0.008448,0
192.168.118.218,192.168.56.60,0.00445,0
192.168.118.218,192.168.59.160,0.0756425,0.00042
192.168.118.218,192.168.245.187,0.012250000000000002,0
192.168.118.218,192.168.103.121,0.006408,0
192.168.118.218,192.168.183.174,0.003153333333333333,0
192.168.118.218,192.168.29.203,0.0057,0
192.168.118.218,192.168.68.211,0.028668,0
192.168.118.218,192.168.154.76,0.0195,0
192.168.118.218,192.168.45.186,0.001825,0.00042
192.168.118.218,192.168.84.10,0.009486666666666666,0
192.168.118.218,192.168.15.236,0.00513,0.00887
192.168.118.218,192.168.63.193,0.010479999999999998,0.01194
192.168.118.218,192.168.216.147,0.0064399999999999995,0.00042
192.168.118.218,192.168.99.33,0.00428,0.10945
192.168.118.218,192.168.128.65,0.002636666666666667,0.00061
192.168.118.218,192.168.13.56,0.00313,0
192.168.118.218,192.168.94.10,0.004996666666666667,0
192.168.118.218,192.168.164.212,0.01567666666666667,0.000525
192.168.118.218,192.168.15.209,0.0028766666666666667,0
192.168.118.218,192.168.253.122,0.002245,0
192.168.118.218,192.168.84.95,0.02154333333333333,0.02452
192.168.118.218,192.168.33.114,0.01251,0.01501
192.168.118.218,192.168.55.14,0.026862499999999997,0
192.168.118.218,192.168.129.236,0.015713333333333333,0
192.168.118.218,192.168.37.21,0.015942000000000005,0
192.168.118.218,192.168.194.217,0.037865,0
192.168.118.218,192.168.7.226,0.07805,0
192.168.118.218,192.168.86.1,0.01567666666666667,0.00065
192.168.118.218,192.168.51.124,0.2413,0
192.168.118.218,192.168.217.66,0.030263333333333333,0
192.168.118.218,192.168.1.242,0.016236,0
192.168.118.218,192.168.243.109,0.47583000000000003,0
192.168.118.218,192.168.166.16,0.240595,0.00612
192.168.118.218,192.168.26.69,0.07073499999999999,0
192.168.118.218,192.168.54.244,0.060305,0
192.168.118.218,192.168.64.181,0.012372,0
192.168.118.218,192.168.39.243,0.005533333333333334,0
192.168.118.218,192.168.223.98,0.013383333333333336,0
192.168.118.218,192.168.115.129,0.006781999999999999,0
192.168.118.218,192.168.204.232,0.92784,0
192.168.118.218,192.168.71.186,0.003113333333333333,0
192.168.118.218,192.168.185.121,0.007816666666666668,0
192.168.118.218,192.168.121.132,0.08090249999999999,0.00061
192.168.118.218,192.168.169.207,0.27365333333333336,0.00044
192.168.118.218,192.168.185.206,0.2148825,0.00042
192.168.175.244,192.168.169.223,0.006465,0
192.168.175.244,192.168.194.240,0.02033,0
192.168.175.244,192.168.217.194,0.00508,0
192.168.175.244,192.168.15.236,0.002433333333333333,0
192.168.175.244,192.168.183.174,0.1239325,0.01501
192.168.175.244,192.168.241.155,0.0136525,0.00887
192.168.175.244,192.168.204.232,0.0108125,0
192.168.175.244,192.168.59.160,0.0026000000000000003,0
192.168.175.244,192.168.154.76,0.27319,0.00042
192.168.175.244,192.168.253.122,0.015999999999999997,0.00042
192.168.175.244,192.168.194.217,0.024249999999999997,0
192.168.175.244,192.168.13.56,0.00164,0
192.168.175.244,192.168.5.168,0.00905,0
192.168.175.244,192.168.79.252,0.062688,0
