source,target,user_prob,root_prob
192.168.223.98,192.168.176.179,0.014486666666666667,0
192.168.223.98,192.168.2.47,0.012363333333333332,0.00192
192.168.223.98,192.168.21.16,0.0048850000000000005,0
192.168.48.107,192.168.21.16,0.00525,0.00042
192.168.48.107,192.168.92.79,0.006285,0.00042
192.168.176.179,192.168.92.79,0.009455,0.00042
192.168.176.179,192.168.223.98,0.01899333333333333,0.00042
192.168.176.179,192.168.21.16,0.0007700000000000001,0
192.168.176.179,192.168.48.107,0.00254,0.00044
192.168.92.79,192.168.21.16,0.010660000000000001,0
192.168.92.79,192.168.223.98,0.0315,0.004654999999999999
192.168.2.47,192.168.176.179,0.0014299999999999998,0.00612
192.168.2.47,192.168.48.107,0.7756,0.015005000000000001
192.168.2.47,192.168.223.98,0.005605,0.011935
192.168.21.16,192.168.223.98,0.05622666666666667,0
192.168.21.16,192.168.48.107,0.014920000000000001,0
192.168.21.16,192.168.2.47,0.00101,0
192.168.21.16,192.168.176.179,0.002215,0
192.168.21.16,192.168.92.79,0,0.006035
