source,service,cve,exploit_prob,target,privilege
192.168.0.2,NetBT,CVE-2017-0161,0.6,192.168.0.4,User
192.168.0.2,Win32k,CVE-2018-8120,0.04,192.168.0.4,Root
192.168.0.2,VBScript,CVE-2018-8174,0.5,192.168.0.4,Root
192.168.0.2,Apache,CVE-2017-9798,0.8,192.168.0.3,User
192.168.0.2,Apache,CVE-2014-0226,0.6,192.168.0.3,Root
192.168.0.3,Apache,CVE-2017-9798,0.5,192.168.0.5,User
192.168.0.3,Apache,CVE-2014-0226,0.1,192.168.0.5,Root
192.168.0.4,NetBT,CVE-2017-0161,0.8,192.168.0.5,User
192.168.0.4,Win32k,CVE-2018-8120,0.02,192.168.0.5,Root
192.168.0.4,VBScript,CVE-2018-8174,0.2,192.168.0.5,Root
192.168.0.4,OJVM,CVE-2016-5555,0.4,192.168.0.6,User
192.168.0.4,RDP,CVE-2012-0002,0.2,192.168.0.6,Root
192.168.0.4,HFS,CVE-2014-6287,0.3,192.168.0.7,User
192.168.0.4,RDP,CVE-2012-0002,0.1,192.168.0.7,Root
192.168.0.5,HFS,CVE-2014-6287,0.6,192.168.0.7,User
192.168.0.5,RDP,CVE-2012-0002,0.3,192.168.0.7,Root
192.168.0.5,OJVM,CVE-2016-5555,0.2,192.168.0.8,User
192.168.0.5,RDP,CVE-2012-0002,0.1,192.168.0.8,Root
192.168.0.7,OJVM,CVE-2016-5555,0.2,192.168.0.8,User
192.168.0.7,RDP,CVE-2012-0002,0.1,192.168.0.8,Root
